"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-06-28","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",23,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-06-29","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",19,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-06-30","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",24,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-01","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",10,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-02","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",17,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-03","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",19,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-04","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",62,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-05","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",21,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-06","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",20,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-07","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",42,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-08","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",32,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-09","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",30,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-10","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",21,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-11","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",8,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-12","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",11,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-13","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",12,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-14","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",15,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-15","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",17,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-07-16","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",18,"Air Quality Index"
